feature,importance
Market_Overround,11833
Home_Goals_Conceded_Avg,7995
Away_Goals_Conceded_Avg,7960
Away_Failed_Score,7822
Away_Clean_Sheets,7804
Goals_Diff_Away,7733
Away_Goals_Scored_Avg,7625
Home_Goals_Scored_Avg,7585
Home_Failed_Score,7317
Home_Clean_Sheets,7296
Goals_Diff_Home,7239
General_Form,6631
Away_ImpliedProb,6292
Away_Win_Rate,6205
Home_Win_Rate,5907
Away_Points,5859
Home_Points,5833
Home_ImpliedProb,5254
Points_Diff,4404
Away_Form,4367
Away_League_Position,4009
Draw_ImpliedProb,3941
Home_League_Position,3759
Home_Form,3752
Position_Diff,3476
Market_Confidence,3288
Underdog_Odds,3108
h2h_home_goals,1747
h2h_total_goals,1692
h2h_away_goals,1593
Points_Diff,881
Away_League_Position,795
Home_League_Position,729
Position_Diff,729
